DNALI1;dynein axonemal light intermediate chain 1;7802;;
DNHD1;dynein heavy chain domain 1;144132;;
DNMT3B;DNA (cytosine-5-)-methyltransferase 3 beta;1789;;
DOCK7;dedicator of cytokinesis 7;85440;;
DOT1L;DOT1-like histone H3K79 methyltransferase;84444;;
DPYSL2;dihydropyrimidinase-like 2;1808;;
DRC1;dynein regulatory complex subunit 1;92749;;
DRC3;dynein regulatory complex subunit 3;83450;;
DRC7;dynein regulatory complex subunit 7;84229;;
DST;dystonin;667;;
DYNC1H1;dynein cytoplasmic 1 heavy chain 1;1778;;
DYNC1I1;dynein, cytoplasmic 1, intermediate chain 1;1780;;
DYNC1I2;dynein cytoplasmic 1 intermediate chain 2;1781;;
DYNC1LI1;dynein cytoplasmic 1 light intermediate chain 1;51143;;
DYNC1LI2;dynein cytoplasmic 1 light intermediate chain 2;1783;;
DYNC2H1;dynein cytoplasmic 2 heavy chain 1;79659;;
DYNC2LI1;dynein cytoplasmic 2 light intermediate chain 1;51626;;
DYNLL1;dynein light chain LC8-type 1;8655;;
DYNLL2;dynein light chain LC8-type 2 ;140735;;
DYNLRB1;dynein light chain roadblock-type 1;83658;;
DYNLRB2;dynein light chain roadblock-type 2;83657;;
DYNLT1;dynein light chain Tctex-type 1;6993;;
DYNLT3;dynein light chain Tctex-type 3;6990;;
EIF2AK2;eukaryotic translation initiation factor 2-alpha kinase 2;5610;;
EML1;echinoderm microtubule associated protein like 1;2009;;
EML2;echinoderm microtubule associated protein like 2;24139;;
EML3;echinoderm microtubule associated protein like 3;256364;;
EML4;echinoderm microtubule associated protein like 4;27436;;
EML5;echinoderm microtubule associated protein like 5;161436;;
EML6;echinoderm microtubule associated protein like 6;400954;;
EP300;E1A binding protein p300;2033;;
EPB41;erythrocyte membrane protein band 4.1;2035;;
ERG;v-ets avian erythroblastosis virus E26 oncogene homolog;2078;;
FAM190A;coiled-coil serine rich protein 1 (CCSER1);401145;;
FAM190B;coiled-coil serine rich protein 2 (CCSER2);54462;;
FBL;fibrillarin;2091;;
FBXL14;F-box and leucine-rich repeat protein 14;144699;;
FGFR1OP;FGFR1 oncogene partner;11116;;
FLIP1;TNIP2 (TNFAIP3 interacting protein 2);79155;;
FMR1;fragile X mental retardation 1;2332;;
FN1;fibronectin 1;2335;;
FNTA;farnesyltransferase, CAAX box, alpha;2339;;
FNTB;farnesyltransferase, CAAX box, beta;2342;;
FYN;FYN proto-oncogene, Src family tyrosine kinase;2534;;
GAS2L1;growth arrest specific 2 like 1;10634;;
GAS7;growth arrest specific 7 [;8522;;
GIT1;G protein-coupled receptor kinase interacting ArfGAP 1;28964;;
GOLGA2;golgin A2;2801;;
GOLGB1;golgin B1;2804;;
GPAA1;glycosylphosphatidylinositol anchor attachment 1;8733;;
GSK3B;glycogen synthase kinase 3 beta;2932;;
GSTP1;glutathione S-transferase pi 1;2950;;
GTSE1;G2 and S-phase expressed 1;51512;;
GZMB;granzyme B (granzyme 2, cytotoxic T-lymphocyte-associated serine esterase 1);3002;;
HAUS6;HAUS augmin like complex subunit 6;54801;;
HDAC6;histone deacetylase 6;10013;;
HERC5;HECT and RLD domain containing E3 ubiquitin protein ligase 5;51191;;
HSPA8;heat shock 70kDa protein 8;3312;;
HTT;huntingtin;3064;;
iASPP;PPP1R13L (protein phosphatase 1 regulatory subunit 13 like);10848;;
ID1;inhibitor of DNA binding 1, dominant negative helix-loop-helix protein;3397;;
INCENP;inner centromere protein;3619;;
IQCA1;IQ motif containing with AAA domain 1;79781;;
IQCB1;IQ motif containing B1;9657;;
IQCD;IQ motif containing D;115811;;
IQCG;IQ motif containing G;84223;;
IQGAP1;IQ motif containing GTPase activating protein 1;8826;;
JAKMIP1;janus kinase and microtubule interacting protein 1;152789;;
JAKMIP2;janus kinase and microtubule interacting protein 2;9832;;
JAKMIP3;Janus kinase and microtubule interacting protein 3;282973;;
KATNA1;katanin p60 (ATPase containing) subunit A 1;11104;;
KDM5B;lysine (K)-specific demethylase 5B;10765;;
KDM6A;lysine (K)-specific demethylase 6A;7403;;
KIAA1524;KIAA1524 (CIP2A);57650;;
KIF10;kinesin family member 10=CENP-E;1062;;
KIF11;kinesin family member 11 = EG5;3832;;
KIF12;kinesin family member 12;113220;;
KIF13A;kinesin family member 13A;63971;;
KIF13B;kinesin family member 13B;23303;;
KIF14;kinesin family member 14;8928;;
KIF15;kinesin family member 15;56992;;
KIF16A;STARD9/KIF16A;57519;;
KIF16B;kinesin family member 16B;55614;;
KIF17;kinesin family member 17;57576;;
KIF18A;kinesin family member 18A;81930;;
KIF18B;kinesin family member 18B;146909;;
KIF19;kinesin family member 19;124602;;
KIF1A;kinesin family member 1A;547;;
KIF1B;kinesin family member 1B;23095;;
KIF1C;kinesin family member 1C;10749;;
KIF20A;kinesin family member 20A;10112;;
KIF20B;kinesin family member 20B;9585;;
KIF21A;kinesin family member 21A;55605;;
KIF21B;kinesin family member 21B;23046;;
KIF22;kinesin family member 22;3835;;
KIF23;kinesin family member 23;9493;;
KIF24;kinesin family member 24;347240;;
KIF25;kinesin family member 25;3834;;
KIF26A;kinesin family member 26A;26153;;
KIF26B;kinesin family member 26B;55083;;
KIF27;kinesin family member 27;55582;;
KIF2A;kinesin family member 2A;3796;;
KIF2B;kinesin family member 2B;84643;;
KIF2C;kinesin family member 2C;11004;;
KIF3A;kinesin family member 3A;11127;;
KIF3B;kinesin family member 3B;9371;;
KIF3C;kinesin family member 3C;3797;;
KIF4A;kinesin family member 4A;24137;;
KIF4B;kinesin family member 4B;285643;;
KIF5A;kinesin family member 5A;3798;;
KIF5B;kinesin family member 5B;3799;;
KIF5C;kinesin family member 5C;3800;;
KIF6;kinesin family member 6;221458;;
KIF7;kinesin family member 7;374654;;
KIF9;kinesin family member 9;64147;;
KIFAP3;kinesin associated protein 3;22920;;
KIFC1;kinesin family member C1;3833;;
KIFC2;kinesin family member C2;90990;;
KIFC3;kinesin family member C3;3801;;
LASP1;LIM and SH3 protein 1;3927;;
LGALS1;lectin, galactoside-binding, soluble, 1;3956;;
LIMK1;LIM domain kinase 1;3984;;
LIMK2;LIM domain kinase 2;3985;;
LOC105376502;microtubule cross-linking factor 1-like;105376502;;
LOC107987035;tubulin beta chain-like;107987035;;
LRRK2;leucine-rich repeat kinase 2;120892;;
MACF1;microtubule-actin crosslinking factor 1 (ACF7);23499;;
MAP10;microtubule-associated protein 10;54627;;
MAP1A;microtubule associated protein 1A;4130;;
MAP1B;microtubule associated protein 1B (=MAP5);4131;;
MAP1LC3A;microtubule associated protein 1 light chain 3 alpha;84557;;
MAP1LC3B;microtubule associated protein 1 light chain 3 beta;81631;;
MAP1LC3C;microtubule associated protein 1 light chain 3 gamma;440738;;
MAP1S;microtubule associated protein 1S (MAP8);55201;;
MAP2;microtubule associated protein 2;4133;;
MAP4;microtubule-associated protein 4;4134;;
MAP6;microtubule-associated protein 6;4135;;
MAP7;microtubule-associated protein 7;9053;;
MAP7D1;MAP7 domain containing 1;55700;;
MAP7D2;MAP7 domain containing 2;256714;;
MAP7D3;MAP7 domain containing 3;79649;;
MAP9;microtubule-associated protein 9;79884;;
MAPK3;mitogen-activated protein kinase 3;5595;;
MAPK8IP1;mitogen-activated protein kinase 8 interacting protein 1;9479;;
MAPRE1;microtubule-associated protein, RP/EB family, member 1;22919;;
MAPRE2;microtubule-associated protein, RP/EB family, member 2;10982;;
MAPRE3;microtubule-associated protein, RP/EB family, member 3;22924;;
MAPT;microtubule-associated protein tau;4137;;
MARK1;MAP/microtubule affinity-regulating kinase 1;4139;;
MARK2;MAP/microtubule affinity-regulating kinase 2;2011;;
MARK3;MAP/microtubule affinity-regulating kinase 3;4140;;
MARK4;MAP/microtubule affinity-regulating kinase 4;57787;;
MAST1;microtubule associated serine/threonine kinase 1;22983;;
MAST2;microtubule associated serine/threonine kinase 2;23139;;
MAST3;microtubule associated serine/threonine kinase 3;23031;;
MAST4;microtubule associated serine/threonine kinase family member 4;375449;;
MASTL;microtubule associated serine/threonine kinase-like;84930;;
MCC;mutated in colorectal cancers;4163;;
MEMO-1;mediator of cell motility 1;51072;;
MGEA5;meningioma expressed antigen 5 (hyaluronidase);10724;;
MICAL1;microtubule associated monooxygenase, calponin and LIM domain containing 1;64780;;
MICAL2;microtubule associated monooxygenase, calponin and LIM domain containing 2;9645;;
MICAL3;microtubule associated monooxygenase, calponin and LIM domain containing 3;57553;;
MICALCL;MICAL C-terminal like;84953;;
MICALL1;MICAL-like 1;85377;;
MICALL2;MICAL-like 2;79778;;
MITD1;MIT, microtubule interacting and transport, domain containing 1;129531;;
MITF;microphthalmia-associated transcription factor;4286;;
MLPH;melanophilin;79083;;
MTCL1;microtubule crosslinking factor 1;23255;;
MTOR;mechanistic target of rapamycin;2475;;
MTUS1;microtubule associated tumor suppressor 1;57509;;
MTUS2;microtubule associated tumor suppressor candidate 2;23281;;
MZT1;mitotic spindle organizing protein 1;440145;;
MZT2A;mitotic spindle organizing protein 2A;653784;;
MZT2B;mitotic spindle organizing protein 2B;80097;;
NAV1;neuron navigator 1;89796;;
NAV2;neuron navigator 2;89797;;
NAV3;neuron navigator 3;89795;;
NCK5L ;NCKAP5L (NCK associated protein 5 like);57701;;
NCKP5 ;NCKAP5 (NCK associated protein 5);344148;;
NCOA6;nuclear receptor coactivator 6;23054;;
NDEL1;nudE neurodevelopment protein 1-like 1;81565;;
NEK1;NIMA related kinase 1;4750;;
NEK10;NIMA related kinase 10;152110;;
NEK11;NIMA related kinase 11;79858;;
NEK2;NIMA related kinase 2;4751;;
NEK3;NIMA related kinase 3;4752;;
NEK4;NIMA related kinase 4;6787;;
NEK5;NIMA related kinase 4;341676;;
NEK6;NIMA related kinase 6;10783;;
NEK7;NIMA related kinase 7;140609;;
NEK8;NIMA related kinase 8;284086;;
NEK9;NIMA related kinase 9;91754;;
NOTCH1;notch 1;4851;;
NUDC;nuclear distribution C, dynein complex regulator;10726;;
NUMA1;nuclear mitotic apparatus protein 1;4926;;
NUPR1;nuclear protein 1, transcriptional regulator;26471;;
PAK1;p21 protein (Cdc42/Rac)-activated kinase 1 ;5058;;
PARD6G;par-6 family cell polarity regulator gamma;84552;;
PARK2;parkin RBR E3 ubiquitin protein ligase;5071;;
PAXIP1;PAX interacting (with transcription-activation domain) protein 1;22976;;
PCNA;proliferating cell nuclear antigen;5111;;
PDLIM5;PDZ and LIM domain 5;10611;;
PIN1;peptidylprolyl cis/trans isomerase, NIMA-interacting 1;5300;;
PIN4;peptidylprolyl cis/trans isomerase, NIMA-interacting 4;5303;;
PKN1;protein kinase N1;5585;;
PLK1;polo like kinase 1;5347;;
PLXNA2;plexin A2;5362;;
PNMA2;paraneoplastic Ma antigen 2;10687;;
PRKAA1;protein kinase AMP-activated catalytic subunit alpha 1;5562;;
PRKAA2;protein kinase AMP-activated catalytic subunit alpha 2 ;5563;;
PRMT1;protein arginine methyltransferase 1;3276;;
PSEN1;presenilin 1;5663;;
PSEN2;presenilin 2;5664;;
PXN;paxillin;5829;;
RACGAP1;Rac GTPase activating protein 1;29127;;
RAN;RAN, member RAS oncogene family;5901;;
RASSF1;Ras association (RalGDS/AF-6) domain family member 1;11186;;
RB1;retinoblastoma 1;5925;;
RBBP5;retinoblastoma binding protein 5;5929;;
REST;RE1-silencing transcription factor;5978;;
RITA1;RBPJ interacting and tubulin associated 1;84934;;
RMDN1;regulator of microtubule dynamics 1;51115;;
RMDN2;regulator of microtubule dynamics 2;151393;;
RMDN3;regulator of microtubule dynamics 3;55177;;
RPTOR;regulatory associated protein of MTOR, complex 1;57521;;
SATB1;SATB homeobox 1;6304;;
SEL1L;sel-1 suppressor of lin-12-like (C. elegans);6400;;
SFPQ;splicing factor proline/glutamine-rich;6421;;
SGOL1;shugoshin-like 1;151648;;
SGOL2;shugoshin-like 2 ;151246;;
SHOX2;short stature homeobox 2;6474;;
SIAH1;siah E3 ubiquitin protein ligase 1;6477;;
SIRT2;sirtuin 2;22933;;
SKAP ;KNSTRN (kinetochore-localized astrin/SPAG5 binding protein);90417;;
SKI;SKI proto-oncogene;6497;;
SLAIN1;SLAIN motif family member 1;122060;;
SLAIN2;SLAIN motif family member 2 ;57606;;
SMARCA4;SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 4;6597;;
SMC3;structural maintenance of chromosomes 3;9126;;
SNCA;synuclein alpha;6622;;
SPAST;spastin;6683;;
SPI1;Spi-1 proto-oncogene;6688;;
SRCIN1;SRC kinase signaling inhibitor 1;80725;;
SRF;serum response factor;6722;;
STAU1;staufen double-stranded RNA binding protein 1;6780;;
STIM1;stromal interaction molecule 1;6786;;
STMN1;stathmin 1;3925;;
STRADA;STE20-related kinase adaptor alpha;92335;;
SUZ12;SUZ12 polycomb repressive complex 2 subunit ;23512;;
SVIL;supervillin;6840;;
SYBU;syntabulin;55638;;
SYK;spleen tyrosine kinase;6850;;
Symbol;Entrez Gene Name;Entrez Gene ID for Human;;
Tastin ;TROAP (trophinin associated protein);10024;;
TBCA;tubulin folding cofactor A;6902;;
TBCB;tubulin folding cofactor B;1155;;
TBCC;tubulin folding cofactor C;6903;;
TBCD;tubulin folding cofactor D;6904;;
TBCE;tubulin folding cofactor E;6905;;
TBCEL;tubulin folding cofactor E like;219899;;
TERF1;telomeric repeat binding factor (NIMA-interacting) 1;7013;;
TERF2;telomeric repeat binding factor 2;7014;;
TGM2;transglutaminase 2;7052;;
TP53;tumor protein p53;7157;;
TPGS1;tubulin polyglutamylase complex subunit 1;91978;;
TPGS2;tubulin polyglutamylase complex subunit 2;25941;;
TPPP;tubulin polymerization promoting protein;11076;;
TPPP2;tubulin polymerization promoting protein family member 2;122664;;
TPPP3;tubulin polymerization promoting protein family member 3;51673;;
TPX2;TPX2, microtubule-associated ;22974;;
TRAF6;TNF receptor-associated factor 6, E3 ubiquitin protein ligase;7189;;
TRIP10;thyroid hormone receptor interactor 10;9322;;
TTBK1;tau tubulin kinase 1;84630;;
TTBK2;tau tubulin kinase 2;146057;;
TTL;tubulin tyrosine ligase ;150465;;
TTLL1;tubulin tyrosine ligase like 1;25809;;
TTLL10;tubulin tyrosine ligase like 10;254173;;
TTLL11;tubulin tyrosine ligase like 11;158135;;
TTLL12;tubulin tyrosine ligase like 12;23170;;
TTLL2;tubulin tyrosine ligase like 2;83887;;
TTLL3;tubulin tyrosine ligase like 3;26140;;
TTLL4;tubulin tyrosine ligase like 4;9654;;
TTLL5;tubulin tyrosine ligase like 5;23093;;
TTLL6;tubulin tyrosine ligase like 6;284076;;
TTLL7;tubulin tyrosine ligase like 7;79739;;
TTLL8;tubulin tyrosine ligase like 8;164714;;
TTLL9;tubulin tyrosine ligase like 9;164395;;
TUBA1A;tubulin, alpha 1a;7846;;
TUBA1B;tubulin, alpha 1b;10376;;
TUBA1C;tubulin, alpha 1c;84790;;
TUBA3C;tubulin, alpha 3c;7278;;
TUBA3D;tubulin, alpha 3d;113457;;
TUBA3E;tubulin, alpha 3e;112714;;
TUBA4A;tubulin, alpha 4a;7277;;
TUBA4B;tubulin, alpha 4b;80086;;
TUBA8;tubulin, alpha 8;51807;;
TUBAL3;tubulin alpha like 3;79861;;
TUBB;tubulin, beta class I;203068;;
TUBB1;tubulin, beta 1 class VI;81027;;
TUBB2A;tubulin, beta 2A class IIa;7280;;
TUBB2B;tubulin beta 2B class IIb;347733;;
TUBB3;tubulin, beta 3 class III;10381;;
TUBB4A;tubulin, beta 4A class IVa;10382;;
TUBB4B;tubulin, beta 4B class IVb;10383;;
TUBB6;tubulin, beta 6, class V;84617;;
TUBB8;tubulin, beta 8, class VIII;347688;;
TUBD1;tubulin, delta 1;51174;;
TUBE1;tubulin, epsilon 1;51175;;
TUBG1;tubulin, gamma 1;7283;;
TUBG2;tubulin, gamma 2;27175;;
TUBGCP2;tubulin, gamma complex associated protein 2;10844;;
TUBGCP3;tubulin, gamma complex associated protein 3;10426;;
TUBGCP4;tubulin, gamma complex associated protein 4;27229;;
TUBGCP5;tubulin, gamma complex associated protein 5;114791;;
TUBGCP6;tubulin, gamma complex associated protein 6;85378;;
UBC;ubiquitin C;7316;;
UCHL1;ubiquitin C-terminal hydrolase L1;7345;;
USP21;ubiquitin specific peptidase 21;27005;;
VHL;von Hippel-Lindau tumor suppressor, E3 ubiquitin protein ligase;7428;;
WASH1;WAS protein family homolog 1;100287171;;
WDR5;WD repeat domain 5;11091;;
WHAMM;WAS protein homolog associated with actin, golgi membranes and microtubules;123720;;
WHSC1;Wolf-Hirschhorn syndrome candidate 1;7468;;
ZBED6;zinc finger, BED-type containing 6;100381270;;
